,ground truth
Max-indentation,0.17556648866997218
Max-words,0.1525021376278732
Max-number-of-identifiers,0.12621794446973555
Max-numbers,0.12380257661442269
Avg-indentation-length,0.1042648296687015
Max-line-length,0.10030212366355412
Max-keywords,0.08835851138841014
Avg-spaces,0.08201830114177278
Max-char,0.07832858009840844
Avg-Identifiers-Length,0.07771985456290763
Avg-operators,0.06582968797914787
SLOC,0.06375420754898228
Avg-number-of-identifiers,0.050913501647800515
Max-Identifiers-Length,0.029012752426529308
Avg-conditionals,0.026919876441451548
Avg-numbers,0.02012885359093512
Avg-loops,0.00860305781528218
Avg-blank-lines,0.008076811246860063
Avg-comparisons,0.006049104859631994
Avg-periods,-0.004547774199478507
Avg-Assignment,-0.00469070488247465
Avg-line-length,-0.00907516547549167
Avg-comments,-0.013441869172614956
Avg-commas,-0.03722185847163435
Avg-keywords,-0.038266102535462074
Avg-parenthesis,-0.061497713772273865
